                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3895,                 0.8091,                 1.1843,                0.07843,                0.98507,                0.84373,                0.40025,                 1.5512,                 1.0761,                 2.0885,               0.007723,               0.007723,               0.007723
                     25,                0.83623,                 1.2841,                 1.4546,                0.01288,                0.94504,                0.34838,                0.23547,                 1.1963,                 2.1744,                 1.9503,               0.007624,               0.007624,               0.007624
                     25,                 1.3659,                0.78377,                 1.1826,                0.07104,                0.97015,                0.90114,                0.46077,                 1.4911,                 1.0188,                 1.9384,               0.007624,               0.007624,               0.007624
                     26,                0.83403,                 1.2721,                  1.449,                0.02559,                0.91309,                0.33336,                0.22853,                   1.16,                  2.279,                  1.907,               0.007525,               0.007525,               0.007525
                     26,                 1.3685,                0.78668,                 1.1822,                0.05906,                0.98507,                0.90041,                0.43832,                 1.5795,                 1.0565,                 2.0423,               0.007525,               0.007525,               0.007525
                     27,                0.82437,                 1.2263,                 1.4411,                0.02185,                0.94063,                0.35967,                0.24205,                 1.1393,                 2.0631,                 1.8805,               0.007426,               0.007426,               0.007426
                     27,                 1.3604,                0.76977,                 1.1743,                0.08511,                0.98507,                0.84871,                0.43281,                 1.5911,                 1.0821,                  2.032,               0.007426,               0.007426,               0.007426
                     28,                0.78966,                  1.193,                 1.4319,                0.01925,                0.92684,                0.30479,                0.19999,                 1.1637,                 2.8057,                 1.8997,               0.007327,               0.007327,               0.007327
                     28,                  1.325,                0.75325,                 1.1628,                0.05628,                 0.9403,                0.77735,                0.40743,                 1.5895,                 1.0938,                  2.083,               0.007327,               0.007327,               0.007327
                     29,                0.78895,                 1.1649,                 1.4079,                0.01882,                0.91677,                 0.2868,                0.19583,                 1.1954,                 2.4068,                 1.9315,               0.007228,               0.007228,               0.007228
                     29,                 1.3067,                0.74583,                 1.1554,                0.07784,                0.97761,                0.87988,                0.46766,                 1.3889,                0.94257,                 1.8517,               0.007228,               0.007228,               0.007228
                     30,                0.75345,                 1.1117,                  1.383,                0.02022,                0.95149,                0.36441,                0.26563,                 1.1555,                 2.1724,                  1.853,               0.007129,               0.007129,               0.007129
                     30,                 1.3006,                0.71205,                 1.1415,                0.10697,                0.98507,                0.88845,                0.44476,                 1.6095,                0.98991,                 2.1106,               0.007129,               0.007129,               0.007129
                     31,                0.75335,                 1.0999,                 1.3729,                0.02489,                0.92362,                0.38818,                0.26163,                 1.1754,                 2.2483,                 1.8671,                0.00703,                0.00703,                0.00703
                     31,                 1.2882,                 0.7033,                 1.1309,                0.12241,                0.97015,                0.87326,                0.45239,                 1.6539,                0.93504,                 2.1275,                0.00703,                0.00703,                0.00703
                     32,                0.75897,                 1.1118,                 1.3802,                0.01968,                0.92563,                0.33837,                0.22524,                 1.2658,                 2.2494,                 2.0143,               0.006931,               0.006931,               0.006931
                     32,                 1.2829,                0.71698,                 1.1465,                0.11504,                0.97015,                0.87592,                 0.4377,                 1.6276,                0.94426,                 2.0295,               0.006931,               0.006931,               0.006931
                     33,                0.73038,                  1.086,                 1.3556,                0.03173,                0.93533,                0.41204,                0.27939,                 1.1159,                 2.0858,                 1.8598,               0.006832,               0.006832,               0.006832
                     33,                 1.2492,                0.70214,                 1.1352,                0.10016,                0.96269,                0.88809,                0.45596,                 1.6501,                0.92932,                 2.1892,               0.006832,               0.006832,               0.006832
                     34,                0.74121,                 1.0616,                 1.3549,                0.03403,                0.93333,                0.40842,                0.29598,                 1.1763,                 2.0702,                   1.87,               0.006733,               0.006733,               0.006733
                     34,                 1.2485,                0.68878,                 1.1173,                0.10275,                0.97761,                0.86492,                0.44443,                 1.5801,                0.92632,                 2.0468,               0.006733,               0.006733,               0.006733
                     35,                0.71308,                 1.0338,                 1.3359,                0.02719,                0.93374,                0.34181,                0.24263,                 1.1441,                 2.3458,                 1.8372,               0.006634,               0.006634,               0.006634
                     35,                 1.2268,                0.68081,                 1.1181,                0.12919,                0.97761,                0.86576,                 0.4558,                 1.5971,                0.96351,                 2.1095,               0.006634,               0.006634,               0.006634
                     36,                0.70998,                 1.0084,                  1.325,                0.04261,                0.90988,                0.35073,                0.25593,                 1.0749,                 2.5465,                 1.8134,               0.006535,               0.006535,               0.006535
                     36,                 1.2443,                0.68796,                 1.1264,                0.12925,                0.99254,                0.91827,                0.49047,                 1.4827,                0.88733,                  1.959,               0.006535,               0.006535,               0.006535
                     37,                0.71295,                  1.008,                 1.3298,                0.03548,                0.90862,                0.42678,                0.30591,                 1.0916,                  1.953,                 1.8026,               0.006436,               0.006436,               0.006436
