                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.70278,                0.94548,                 1.2962,                0.01892,                0.89979,                0.36517,                 0.2626,                 1.1277,                 2.3218,                 1.8176,               0.006238,               0.006238,               0.006238
                     39,                 1.2032,                0.64227,                 1.0868,                0.11441,                0.97761,                0.89938,                0.43043,                 1.6265,                0.91695,                 2.0949,               0.006238,               0.006238,               0.006238
                     40,                0.68912,                0.94101,                  1.285,                0.03394,                0.92769,                0.36335,                0.25621,                 1.1322,                 2.3294,                 1.8453,               0.006139,               0.006139,               0.006139
                     40,                 1.2167,                0.65803,                 1.0991,                0.15358,                0.97761,                0.85049,                0.42311,                 1.6269,                0.92748,                 2.1197,               0.006139,               0.006139,               0.006139
                     41,                0.69697,                0.92157,                 1.2926,                0.03687,                0.90502,                0.36718,                0.27181,                 1.0691,                 2.2963,                 1.7812,                0.00604,                0.00604,                0.00604
                     41,                 1.1905,                 0.6463,                 1.0808,                0.13043,                0.98507,                0.89682,                0.45902,                 1.6516,                0.94673,                   2.25,                0.00604,                0.00604,                0.00604
                     42,                0.68542,                0.90069,                  1.287,                0.03776,                0.92726,                 0.3958,                0.28221,                 1.0845,                 2.3418,                 1.7873,               0.005941,               0.005941,               0.005941
                     42,                 1.1706,                0.64543,                 1.0868,                 0.1524,                0.97015,                0.86144,                0.41241,                 1.7407,                0.94909,                 2.3154,               0.005941,               0.005941,               0.005941
                     43,                0.67382,                0.89748,                 1.2759,                0.03931,                0.89107,                0.34925,                0.24751,                 1.2461,                 2.6953,                  1.983,               0.005842,               0.005842,               0.005842
                     43,                 1.1635,                0.63327,                 1.0929,                 0.1236,                0.98507,                0.87207,                0.44919,                 1.5704,                0.88731,                 2.0784,               0.005842,               0.005842,               0.005842
                     44,                 0.6628,                0.89222,                 1.2628,                0.04375,                0.90907,                0.34869,                0.25504,                 1.0693,                 2.2353,                 1.7604,               0.005743,               0.005743,               0.005743
                     44,                 1.1612,                0.62284,                 1.0751,                0.14054,                0.97015,                0.82844,                 0.4119,                 1.6601,                0.94796,                 2.1682,               0.005743,               0.005743,               0.005743
                     45,                0.67122,                0.87445,                 1.2689,                0.03299,                0.90907,                0.45343,                0.32185,                    1.1,                 2.0892,                 1.8068,               0.005644,               0.005644,               0.005644
                     45,                 1.1513,                0.62212,                 1.0828,                0.13953,                0.98507,                  0.872,                0.43454,                 1.5397,                 0.9221,                 2.0358,               0.005644,               0.005644,               0.005644
                     46,                0.64648,                0.84523,                 1.2554,                0.04351,                0.91269,                0.40425,                0.28107,                 1.0889,                 2.2059,                 1.7931,               0.005545,               0.005545,               0.005545
                     46,                  1.143,                0.60403,                 1.0603,                0.11671,                0.98507,                0.89316,                0.46472,                 1.6027,                0.88403,                 2.1515,               0.005545,               0.005545,               0.005545
                     47,                0.66119,                0.86016,                 1.2514,                0.04307,                0.91674,                0.42916,                 0.3018,                 1.1395,                 2.2564,                  1.811,               0.005446,               0.005446,               0.005446
                     47,                 1.1395,                0.61984,                 1.0705,                0.17847,                0.97761,                 0.9171,                0.46505,                  1.544,                0.86825,                 2.0395,               0.005446,               0.005446,               0.005446
                     48,                0.64434,                0.83581,                 1.2446,                0.04274,                0.91914,                0.43536,                0.31929,                 1.0356,                 2.0782,                 1.7622,               0.005347,               0.005347,               0.005347
                     48,                 1.1251,                0.59956,                 1.0542,                0.16861,                0.97015,                0.91602,                0.43514,                 1.5718,                0.87334,                 2.1172,               0.005347,               0.005347,               0.005347
                     49,                0.64019,                0.82539,                 1.2368,                0.03737,                0.91877,                0.43898,                0.31752,                   1.02,                 1.8894,                 1.7183,               0.005248,               0.005248,               0.005248
                     49,                 1.1083,                0.59072,                 1.0548,                0.18402,                0.96269,                0.90242,                0.46211,                 1.5228,                0.84218,                 2.0214,               0.005248,               0.005248,               0.005248
                     50,                0.62987,                0.81776,                   1.23,                0.03314,                0.91314,                0.42384,                 0.2946,                 1.0939,                 2.1636,                 1.8411,               0.005149,               0.005149,               0.005149
                     50,                 1.1205,                0.59716,                 1.0565,                0.15606,                0.97015,                0.89102,                0.45712,                  1.607,                0.94402,                 2.2076,               0.005149,               0.005149,               0.005149
                     51,                0.63332,                0.80735,                 1.2343,                 0.0414,                 0.9406,                0.46554,                0.33775,                 1.0048,                 1.8435,                 1.7288,                0.00505,                0.00505,                0.00505
                     51,                 1.0945,                0.57855,                 1.0589,                0.16273,                0.97761,                0.83134,                0.41457,                 1.5618,                0.85406,                 2.0602,                0.00505,                0.00505,                0.00505
                     52,                0.62869,                0.80031,                 1.2288,                0.03157,                0.92766,                0.35277,                0.25117,                 1.1234,                 2.1534,                 1.8239,               0.004951,               0.004951,               0.004951
                     52,                 1.1177,                0.59121,                 1.0556,                0.15421,                0.97015,                0.87381,                  0.432,                 1.6948,                0.91419,                 2.3474,               0.004951,               0.004951,               0.004951
                     53,                0.60656,                0.75904,                 1.2068,                0.03806,                0.91917,                0.40689,                 0.2791,                 1.0492,                 2.2631,                 1.7391,               0.004852,               0.004852,               0.004852
                     53,                 1.0638,                0.57284,                 1.0308,                0.16045,                0.96269,                0.87185,                0.43716,                  1.603,                0.93712,                 2.2399,               0.004852,               0.004852,               0.004852
                     54,                0.61358,                0.78193,                 1.2146,                0.05107,                  0.869,                0.38921,                0.26879,                 1.1046,                 2.4044,                 1.7974,               0.004753,               0.004753,               0.004753
                     54,                 1.0778,                0.58302,                 1.0463,                0.17639,                0.97015,                0.89533,                0.45552,                  1.618,                0.87537,                 2.1381,               0.004753,               0.004753,               0.004753
                     55,                0.61036,                 0.7631,                 1.2142,                0.06331,                0.90058,                0.38032,                0.25755,                 1.1316,                 2.3592,                 1.8176,               0.004654,               0.004654,               0.004654
                     55,                 1.0854,                0.57401,                 1.0479,                0.18156,                0.95522,                0.85496,                0.43015,                  1.631,                0.93267,                 2.1445,               0.004654,               0.004654,               0.004654
                     56,                0.58987,                0.73151,                 1.2002,                0.05784,                0.89653,                0.39116,                0.27666,                 1.0271,                 2.4079,                 1.7239,               0.004555,               0.004555,               0.004555
                     56,                  1.086,                0.57918,                 1.0474,                0.14024,                0.97015,                0.91724,                0.46129,                 1.6396,                 0.8468,                 2.1277,               0.004555,               0.004555,               0.004555
                     57,                0.59785,                0.74993,                 1.1993,                0.04614,                0.88846,                   0.46,                0.34232,                 1.0679,                 1.9272,                 1.7641,               0.004456,               0.004456,               0.004456
                     57,                   1.06,                0.55969,                 1.0344,                0.20123,                0.97761,                 0.9115,                0.46469,                 1.5771,                0.84753,                 2.1306,               0.004456,               0.004456,               0.004456
                     58,                0.59954,                 0.7616,                  1.213,                0.05313,                0.91954,                0.40514,                0.28938,                 1.0485,                 2.0941,                 1.7353,               0.004357,               0.004357,               0.004357
                     58,                 1.0381,                0.56035,                 1.0317,                0.18093,                0.96269,                0.90795,                0.44626,                 1.6539,                0.85077,                 2.2124,               0.004357,               0.004357,               0.004357
                     59,                0.59656,                0.74886,                 1.1973,                 0.0522,                0.89976,                0.39955,                0.29202,                 1.0403,                 2.2981,                 1.7462,               0.004258,               0.004258,               0.004258
                     59,                  1.047,                0.55719,                 1.0271,                0.18169,                0.97761,                 0.9213,                0.48231,                 1.5639,                0.83456,                 2.1748,               0.004258,               0.004258,               0.004258
                     60,                0.58877,                0.71985,                    1.2,                 0.0404,                0.90183,                0.43536,                0.31128,                 1.0486,                 2.0123,                 1.7823,               0.004159,               0.004159,               0.004159
                     60,                 1.0446,                 0.5577,                 1.0265,                0.20968,                0.97015,                0.90104,                0.48518,                 1.5522,                 0.7563,                 2.0939,               0.004159,               0.004159,               0.004159
                     61,                0.57672,                0.71169,                 1.1704,                0.04456,                0.89087,                0.44221,                0.31661,                 1.0104,                 2.0672,                 1.7334,                0.00406,                0.00406,                0.00406
                     61,                 1.0429,                 0.5477,                 1.0241,                0.17577,                0.98507,                0.92261,                0.49051,                 1.5988,                 0.8391,                 2.2041,                0.00406,                0.00406,                0.00406
                     62,                0.59124,                0.70696,                 1.1918,                 0.0586,                0.86056,                0.43087,                0.31121,                  1.083,                 2.0347,                 1.7781,               0.003961,               0.003961,               0.003961
                     62,                 1.0316,                0.53942,                 1.0126,                0.18993,                0.98507,                0.86186,                 0.4299,                 1.6076,                0.78444,                 2.1373,               0.003961,               0.003961,               0.003961
                     63,                0.57535,                0.68026,                 1.1727,                0.06392,                0.90703,                 0.4976,                0.36094,                 1.0833,                 1.9679,                 1.7572,               0.003862,               0.003862,               0.003862
                     63,                 1.0193,                0.53547,                 1.0124,                0.25737,                0.97761,                0.91453,                0.46573,                 1.5426,                0.82288,                 2.1589,               0.003862,               0.003862,               0.003862
                     64,                0.57169,                0.69007,                  1.182,                0.04641,                0.90177,                0.40884,                0.29409,                 1.0231,                 2.2579,                 1.7186,               0.003763,               0.003763,               0.003763
                     64,                0.99571,                0.53416,                 1.0076,                0.17867,                      1,                0.95317,                 0.4898,                 1.5772,                0.77682,                 2.1785,               0.003763,               0.003763,               0.003763
                     65,                0.56667,                0.68975,                 1.1764,                0.05296,                0.90417,                0.42232,                0.30867,                 1.0399,                  2.184,                 1.7378,               0.003664,               0.003664,               0.003664
                     65,                 1.0043,                 0.5302,                 1.0143,                 0.1994,                0.98507,                 0.9184,                0.45437,                 1.6288,                0.80341,                 2.1716,               0.003664,               0.003664,               0.003664
                     66,                0.56388,                0.68099,                 1.1715,                0.04903,                0.88968,                0.40768,                0.29029,                 1.0483,                 2.3453,                 1.7514,               0.003565,               0.003565,               0.003565
                     66,                 1.0058,                0.52616,                 1.0034,                0.27623,                0.96269,                0.90927,                0.47917,                 1.5963,                0.79236,                 2.1771,               0.003565,               0.003565,               0.003565
                     67,                0.55689,                0.65717,                 1.1666,                0.05328,                0.90865,                0.39827,                0.28819,                 1.0496,                 2.3224,                 1.7615,               0.003466,               0.003466,               0.003466
                     67,                 1.0027,                0.52423,                 1.0031,                0.22496,                0.95522,                 0.8878,                0.45744,                 1.5918,                0.84094,                 2.2465,               0.003466,               0.003466,               0.003466
                     68,                0.56314,                0.66526,                 1.1578,                0.05977,                0.88714,                0.38919,                0.27584,                 1.0457,                 2.4443,                 1.7586,               0.003367,               0.003367,               0.003367
                     68,                0.99224,                0.52072,                 1.0035,                0.18911,                0.98507,                0.90122,                0.46362,                 1.5778,                0.81126,                 2.1031,               0.003367,               0.003367,               0.003367
                     69,                0.56601,                0.67026,                  1.165,                 0.0543,                 0.8909,                0.46472,                0.35084,                 1.0044,                   2.08,                 1.7143,               0.003268,               0.003268,               0.003268
                     69,                 1.0002,                0.53278,                 1.0135,                 0.2638,                0.96269,                0.88982,                0.47435,                 1.5941,                0.84703,                 2.2239,               0.003268,               0.003268,               0.003268
                     70,                0.53958,                0.63037,                 1.1448,                0.06331,                0.89695,                0.43988,                0.31591,                  1.093,                 2.3466,                 1.8307,               0.003169,               0.003169,               0.003169
